text,label
Security Alert: unauthorized login attempt. Act now: http://secure-update-info.com,phishing
Reminder: Your subscription is scheduled at 02:17 PM.,safe
"Dear customer, flagged is required to prevent loss of access. Visit https://verify-account-login.com",phishing
Your delivery has been shipped. Track it here: https://tracking.frey-riley.info/track?id=xlIpxD,safe
"Dear customer, suspended is required to prevent deactivation. Visit http://bit.ly/pLvGiI",phishing
You have been selected to receive a free iPhone. Claim here: http://secure-update-info.com,phishing
Your order has been shipped. Track it here: https://tracking.hoover-rasmussen.com/track?id=YdbYdb,safe
Your order is confirmed for 06:11 PM.,safe
You have been nominated to receive a free iPhone. Claim here: http://bit.ly/JFXubb,phishing
"Dear customer, temporarily disabled is required to prevent loss of access. Visit https://verify-account-login.com",phishing
"Dear customer, flagged is required to prevent deactivation. Visit http://secure-update-info.com",phishing
"Dear customer, flagged is required to prevent loss of access. Visit http://bit.ly/SMgdNl",phishing
Your account has been locked. Login to continue at https://verify-account-login.com,phishing
Your invoice for subscription is ready. Total: $47.12.,safe
Your appointment is confirmed for 09:00 PM.,safe
Your invoice for order is ready. Total: $21.43.,safe
Security Alert: multiple failed logins. Act now: https://verify-account-login.com,phishing
Security Alert: unusual activity detected. Act now: https://verify-account-login.com,phishing
Your invoice for order is ready. Total: $20.14.,safe
Your delivery is confirmed for 01:17 PM.,safe
Security Alert: unauthorized login attempt. Act now: https://verify-account-login.com,phishing
Your invoice for delivery is ready. Total: $71.70.,safe
Reminder: Your subscription is scheduled at 10:15 PM.,safe
You have been selected to receive a $1000 gift card. Claim here: https://verify-account-login.com,phishing
Your appointment is confirmed for 07:42 AM.,safe
Thank you for your payment to Amazon.,safe
"Dear customer, suspended is required to prevent deactivation. Visit http://secure-update-info.com",phishing
Reminder: Your order is scheduled at 03:16 PM.,safe
Your subscription is confirmed for 08:03 PM.,safe
Your order has been shipped. Track it here: https://tracking.pierce.com/track?id=NadccL,safe
Your invoice for appointment is ready. Total: $47.68.,safe
"Hi Michael, your gym session is at 08:21 AM. See you soon!",safe
"Hi Michelle, your gym session is at 06:05 AM. See you soon!",safe
Your invoice for order is ready. Total: $58.78.,safe
Reminder: Your order is scheduled at 08:04 PM.,safe
Your account has been flagged. Please verify at http://bit.ly/YffWvn,phishing
Reminder: Your subscription is scheduled at 04:22 AM.,safe
Security Alert: unusual activity detected. Act now: https://verify-account-login.com,phishing
"Dear customer, temporarily disabled is required to prevent deactivation. Visit http://secure-update-info.com",phishing
Reminder: Your delivery is scheduled at 12:16 PM.,safe
"Hi Mary, your doctor appointment is at 10:08 AM. See you soon!",safe
"Hi Meagan, your gym session is at 03:25 PM. See you soon!",safe
Security Alert: unauthorized login attempt. Act now: https://verify-account-login.com,phishing
Reminder: Your appointment is scheduled at 04:52 AM.,safe
You have been nominated to receive a free iPhone. Claim here: http://bit.ly/yJvKyw,phishing
"Dear customer, suspended is required to prevent termination. Visit http://secure-update-info.com",phishing
Security Alert: unauthorized login attempt. Act now: http://secure-update-info.com,phishing
Your invoice for appointment is ready. Total: $32.81.,safe
"Dear customer, temporarily disabled is required to prevent termination. Visit https://verify-account-login.com",phishing
Thank you for your payment to Netflix.,safe
Security Alert: unusual activity detected. Act now: http://secure-update-info.com,phishing
"Hi Joshua, your doctor appointment is at 12:16 AM. See you soon!",safe
"Dear customer, flagged is required to prevent termination. Visit http://secure-update-info.com",phishing
"Dear customer, flagged is required to prevent loss of access. Visit https://verify-account-login.com",phishing
Security Alert: unusual activity detected. Act now: https://verify-account-login.com,phishing
Thank you for your payment to Uber.,safe
Thank you for your payment to Amazon.,safe
Security Alert: unusual activity detected. Act now: https://verify-account-login.com,phishing
Thank you for your payment to Uber.,safe
Thank you for your payment to Spotify.,safe
Security Alert: multiple failed logins. Act now: https://verify-account-login.com,phishing
You have been chosen to receive a prize. Claim here: https://verify-account-login.com,phishing
Your invoice for order is ready. Total: $71.05.,safe
Reminder: Your order is scheduled at 10:41 AM.,safe
Your delivery has been shipped. Track it here: https://tracking.collins-brown.biz/track?id=fryFkw,safe
Security Alert: unusual activity detected. Act now: http://secure-update-info.com,phishing
"Dear customer, temporarily disabled is required to prevent loss of access. Visit https://verify-account-login.com",phishing
"Dear customer, suspended is required to prevent loss of access. Visit http://secure-update-info.com",phishing
Your bank account has been locked. Please verify at https://verify-account-login.com,phishing
Your appointment is confirmed for 09:25 PM.,safe
Your account has been temporarily disabled. Confirm your identity at https://verify-account-login.com,phishing
Your subscription is confirmed for 12:06 AM.,safe
Your Apple ID has been locked. Confirm your identity at http://secure-update-info.com,phishing
Reminder: Your delivery is scheduled at 12:20 AM.,safe
Your order has been shipped. Track it here: https://tracking.wood.net/track?id=UHEcuf,safe
Security Alert: unauthorized login attempt. Act now: http://secure-update-info.com,phishing
Your Apple ID has been temporarily disabled. Confirm your identity at http://bit.ly/oRosvI,phishing
Security Alert: multiple failed logins. Act now: http://bit.ly/ehpUfE,phishing
Your appointment is confirmed for 07:42 PM.,safe
Thank you for your payment to Spotify.,safe
"Dear customer, temporarily disabled is required to prevent loss of access. Visit https://verify-account-login.com",phishing
Your bank account has been locked. Please verify at https://verify-account-login.com,phishing
You have been selected to receive a $1000 gift card. Claim here: http://bit.ly/oRWWSD,phishing
"Dear customer, locked is required to prevent deactivation. Visit https://verify-account-login.com",phishing
Your package has been shipped. Track it here: https://tracking.roberts-martin.net/track?id=JgbiLK,safe
Thank you for your payment to Netflix.,safe
Thank you for your payment to Netflix.,safe
Your PayPal account has been temporarily disabled. Confirm your identity at http://bit.ly/WBpjtF,phishing
Security Alert: unauthorized login attempt. Act now: https://verify-account-login.com,phishing
Your delivery has been shipped. Track it here: https://tracking.delgado.com/track?id=aVVPiO,safe
"Dear customer, flagged is required to prevent loss of access. Visit https://verify-account-login.com",phishing
Your invoice for subscription is ready. Total: $89.22.,safe
Your delivery is confirmed for 04:21 PM.,safe
Security Alert: multiple failed logins. Act now: http://bit.ly/mZUekS,phishing
Your account has been locked. Login to continue at https://verify-account-login.com,phishing
Reminder: Your appointment is scheduled at 10:08 PM.,safe
Your invoice for order is ready. Total: $65.13.,safe
You have been nominated to receive a prize. Claim here: https://verify-account-login.com,phishing
You have been chosen to receive a reward. Claim here: http://secure-update-info.com,phishing
Thank you for your payment to Uber.,safe
Thank you for your payment to Netflix.,safe
Your invoice for delivery is ready. Total: $27.51.,safe
Your invoice for appointment is ready. Total: $51.79.,safe
"Hi Martin, your gym session is at 01:50 AM. See you soon!",safe
Your order has been shipped. Track it here: https://tracking.whitaker.com/track?id=VIWGoo,safe
Your subscription is confirmed for 07:24 AM.,safe
Your PayPal account has been suspended. Please verify at http://bit.ly/swzPeA,phishing
Security Alert: unauthorized login attempt. Act now: http://bit.ly/QjxpiY,phishing
Your subscription is confirmed for 08:59 AM.,safe
"Dear customer, temporarily disabled is required to prevent termination. Visit http://bit.ly/UZdQRd",phishing
Security Alert: multiple failed logins. Act now: https://verify-account-login.com,phishing
Your invoice for subscription is ready. Total: $78.17.,safe
Your PayPal account has been locked. Please verify at https://verify-account-login.com,phishing
Your order has been shipped. Track it here: https://tracking.carrillo.com/track?id=BJTqvS,safe
Thank you for your payment to Spotify.,safe
Security Alert: unusual activity detected. Act now: http://secure-update-info.com,phishing
Your invoice for order is ready. Total: $22.71.,safe
"Hi Charles, your gym session is at 06:03 AM. See you soon!",safe
You have been chosen to receive a prize. Claim here: http://bit.ly/QLiOYB,phishing
Your invoice for appointment is ready. Total: $82.39.,safe
Security Alert: unusual activity detected. Act now: https://verify-account-login.com,phishing
Security Alert: unauthorized login attempt. Act now: https://verify-account-login.com,phishing
"Dear customer, temporarily disabled is required to prevent loss of access. Visit http://secure-update-info.com",phishing
Reminder: Your appointment is scheduled at 09:28 AM.,safe
You have been chosen to receive a free iPhone. Claim here: https://verify-account-login.com,phishing
Your package has been shipped. Track it here: https://tracking.graves.com/track?id=RpKhhN,safe
Reminder: Your order is scheduled at 11:07 AM.,safe
Reminder: Your appointment is scheduled at 12:37 PM.,safe
You have been chosen to receive a reward. Claim here: http://bit.ly/fYHKDZ,phishing
Your invoice for delivery is ready. Total: $35.07.,safe
Security Alert: unusual activity detected. Act now: https://verify-account-login.com,phishing
You have been nominated to receive a reward. Claim here: https://verify-account-login.com,phishing
Thank you for your payment to Amazon.,safe
You have been chosen to receive a reward. Claim here: http://secure-update-info.com,phishing
You have been nominated to receive a reward. Claim here: http://secure-update-info.com,phishing
Your Apple ID has been suspended. Confirm your identity at http://bit.ly/YpPFAm,phishing
"Hi Michele, your consultation is at 07:16 AM. See you soon!",safe
"Dear customer, suspended is required to prevent termination. Visit http://bit.ly/qEOzbw",phishing
Reminder: Your order is scheduled at 03:17 PM.,safe
Your account has been suspended. Login to continue at http://secure-update-info.com,phishing
Thank you for your payment to Netflix.,safe
Security Alert: unauthorized login attempt. Act now: https://verify-account-login.com,phishing
Reminder: Your appointment is scheduled at 06:22 PM.,safe
Your Apple ID has been suspended. Please verify at http://bit.ly/jimcDo,phishing
Security Alert: multiple failed logins. Act now: http://secure-update-info.com,phishing
You have been selected to receive a prize. Claim here: http://bit.ly/YwXjxp,phishing
Your invoice for delivery is ready. Total: $19.74.,safe
Thank you for your payment to Netflix.,safe
Reminder: Your appointment is scheduled at 06:39 AM.,safe
Your bank account has been locked. Login to continue at http://secure-update-info.com,phishing
Your invoice for delivery is ready. Total: $56.39.,safe
Reminder: Your subscription is scheduled at 12:22 AM.,safe
"Hi Alvin, your gym session is at 02:08 AM. See you soon!",safe
Security Alert: unauthorized login attempt. Act now: http://bit.ly/qQliqs,phishing
Your account has been locked. Login to continue at http://bit.ly/qAIAFb,phishing
You have been nominated to receive a reward. Claim here: http://bit.ly/yAGLOg,phishing
"Dear customer, flagged is required to prevent termination. Visit http://secure-update-info.com",phishing
Your invoice for subscription is ready. Total: $35.49.,safe
Your order is confirmed for 12:29 PM.,safe
You have been nominated to receive a $1000 gift card. Claim here: http://secure-update-info.com,phishing
"Hi Joshua, your gym session is at 03:18 AM. See you soon!",safe
You have been nominated to receive a free iPhone. Claim here: http://secure-update-info.com,phishing
Your bank account has been suspended. Login to continue at http://bit.ly/jjuXWR,phishing
"Dear customer, temporarily disabled is required to prevent termination. Visit https://verify-account-login.com",phishing
Your appointment is confirmed for 07:27 AM.,safe
You have been chosen to receive a $1000 gift card. Claim here: https://verify-account-login.com,phishing
"Hi Anthony, your doctor appointment is at 12:03 AM. See you soon!",safe
You have been nominated to receive a prize. Claim here: https://verify-account-login.com,phishing
You have been nominated to receive a prize. Claim here: https://verify-account-login.com,phishing
Your order is confirmed for 08:03 AM.,safe
Thank you for your payment to Netflix.,safe
You have been nominated to receive a free iPhone. Claim here: https://verify-account-login.com,phishing
Your invoice for appointment is ready. Total: $58.81.,safe
Security Alert: unusual activity detected. Act now: https://verify-account-login.com,phishing
Your bank account has been temporarily disabled. Please verify at http://secure-update-info.com,phishing
Reminder: Your delivery is scheduled at 02:37 PM.,safe
Your Apple ID has been temporarily disabled. Login to continue at http://secure-update-info.com,phishing
Security Alert: unusual activity detected. Act now: https://verify-account-login.com,phishing
You have been chosen to receive a prize. Claim here: https://verify-account-login.com,phishing
"Dear customer, locked is required to prevent deactivation. Visit http://bit.ly/ITMSgc",phishing
Your invoice for delivery is ready. Total: $73.05.,safe
Your invoice for subscription is ready. Total: $62.82.,safe
You have been chosen to receive a reward. Claim here: https://verify-account-login.com,phishing
You have been chosen to receive a free iPhone. Claim here: http://secure-update-info.com,phishing
Reminder: Your subscription is scheduled at 07:37 PM.,safe
Security Alert: unusual activity detected. Act now: http://bit.ly/sWItAV,phishing
You have been nominated to receive a $1000 gift card. Claim here: https://verify-account-login.com,phishing
"Hi Lori, your doctor appointment is at 06:03 PM. See you soon!",safe
Your order is confirmed for 09:07 PM.,safe
Your delivery has been shipped. Track it here: https://tracking.fisher.org/track?id=dLDFPV,safe
You have been selected to receive a reward. Claim here: https://verify-account-login.com,phishing
You have been chosen to receive a free iPhone. Claim here: http://bit.ly/RIDNhd,phishing
Your bank account has been suspended. Please verify at https://verify-account-login.com,phishing
"Dear customer, suspended is required to prevent deactivation. Visit http://secure-update-info.com",phishing
Your account has been flagged. Please verify at http://secure-update-info.com,phishing
Your account has been locked. Confirm your identity at http://secure-update-info.com,phishing
Your package has been shipped. Track it here: https://tracking.sawyer.biz/track?id=lmyCtq,safe
You have been chosen to receive a $1000 gift card. Claim here: http://secure-update-info.com,phishing
Your delivery has been shipped. Track it here: https://tracking.campbell-rodriguez.com/track?id=UgFXnh,safe
Your package has been shipped. Track it here: https://tracking.hall.com/track?id=AvJMRq,safe
Your PayPal account has been temporarily disabled. Please verify at http://secure-update-info.com,phishing
"Hi Robert, your consultation is at 04:10 PM. See you soon!",safe
Your bank account has been temporarily disabled. Please verify at https://verify-account-login.com,phishing
Security Alert: unusual activity detected. Act now: http://secure-update-info.com,phishing
Your delivery is confirmed for 04:44 AM.,safe
Reminder: Your appointment is scheduled at 04:21 PM.,safe
Reminder: Your order is scheduled at 02:56 AM.,safe
Thank you for your payment to Uber.,safe
Your Apple ID has been flagged. Login to continue at http://secure-update-info.com,phishing
Reminder: Your delivery is scheduled at 04:04 PM.,safe
Your Apple ID has been temporarily disabled. Login to continue at http://bit.ly/ztxTYN,phishing
"Hi Gregory, your consultation is at 11:14 PM. See you soon!",safe
Thank you for your payment to Uber.,safe
You have been nominated to receive a prize. Claim here: http://bit.ly/ehSwZu,phishing
Your package has been shipped. Track it here: https://tracking.brown.com/track?id=gtzYRW,safe
"Hi Brandi, your gym session is at 11:29 PM. See you soon!",safe
Your invoice for appointment is ready. Total: $29.35.,safe
Reminder: Your delivery is scheduled at 05:01 AM.,safe
Security Alert: unusual activity detected. Act now: http://bit.ly/cWbMrt,phishing
"Dear customer, flagged is required to prevent deactivation. Visit https://verify-account-login.com",phishing
Your PayPal account has been locked. Please verify at http://bit.ly/zIfHZq,phishing
Your invoice for appointment is ready. Total: $97.10.,safe
Security Alert: multiple failed logins. Act now: http://secure-update-info.com,phishing
Reminder: Your subscription is scheduled at 09:42 PM.,safe
Your Apple ID has been temporarily disabled. Please verify at http://secure-update-info.com,phishing
Reminder: Your appointment is scheduled at 01:07 AM.,safe
"Dear customer, locked is required to prevent deactivation. Visit http://bit.ly/hRejnq",phishing
Reminder: Your order is scheduled at 04:27 AM.,safe
"Hi Thomas, your consultation is at 09:26 AM. See you soon!",safe
Security Alert: multiple failed logins. Act now: https://verify-account-login.com,phishing
Your appointment is confirmed for 01:27 PM.,safe
Your package has been shipped. Track it here: https://tracking.kramer.com/track?id=JowYfm,safe
Your order has been shipped. Track it here: https://tracking.alexander.com/track?id=ufkPQF,safe
Reminder: Your order is scheduled at 06:38 PM.,safe
You have been nominated to receive a $1000 gift card. Claim here: http://bit.ly/mrlvsX,phishing
"Hi Peggy, your doctor appointment is at 12:10 PM. See you soon!",safe
You have been nominated to receive a prize. Claim here: https://verify-account-login.com,phishing
Thank you for your payment to Amazon.,safe
"Hi Jennifer, your consultation is at 01:38 PM. See you soon!",safe
Your delivery is confirmed for 12:04 AM.,safe
You have been nominated to receive a free iPhone. Claim here: https://verify-account-login.com,phishing
"Dear customer, temporarily disabled is required to prevent termination. Visit http://bit.ly/EIsjPW",phishing
Your PayPal account has been locked. Confirm your identity at https://verify-account-login.com,phishing
Security Alert: multiple failed logins. Act now: http://secure-update-info.com,phishing
"Hi Kelly, your consultation is at 06:17 PM. See you soon!",safe
"Dear customer, suspended is required to prevent termination. Visit https://verify-account-login.com",phishing
Your subscription is confirmed for 07:46 PM.,safe
Your delivery is confirmed for 10:04 AM.,safe
Your subscription is confirmed for 10:14 PM.,safe
Your bank account has been flagged. Please verify at https://verify-account-login.com,phishing
"Hi Tammy, your gym session is at 08:24 AM. See you soon!",safe
Security Alert: unauthorized login attempt. Act now: http://bit.ly/bBpFBm,phishing
Your Apple ID has been locked. Please verify at http://secure-update-info.com,phishing
Security Alert: multiple failed logins. Act now: http://bit.ly/zoYCSA,phishing
Your invoice for subscription is ready. Total: $45.54.,safe
Your PayPal account has been temporarily disabled. Confirm your identity at https://verify-account-login.com,phishing
Your Apple ID has been flagged. Confirm your identity at http://bit.ly/DhiAYX,phishing
Your appointment is confirmed for 11:43 PM.,safe
Thank you for your payment to Netflix.,safe
Your package has been shipped. Track it here: https://tracking.baker.com/track?id=fftIfz,safe
You have been selected to receive a free iPhone. Claim here: http://secure-update-info.com,phishing
Security Alert: unusual activity detected. Act now: http://secure-update-info.com,phishing
Your invoice for delivery is ready. Total: $88.96.,safe
Thank you for your payment to Netflix.,safe
Thank you for your payment to Netflix.,safe
Thank you for your payment to Netflix.,safe
Your subscription is confirmed for 08:51 PM.,safe
Thank you for your payment to Netflix.,safe
Your bank account has been locked. Please verify at http://secure-update-info.com,phishing
Your appointment is confirmed for 12:34 AM.,safe
Your invoice for order is ready. Total: $49.03.,safe
Thank you for your payment to Netflix.,safe
Your invoice for order is ready. Total: $82.38.,safe
Your bank account has been suspended. Login to continue at https://verify-account-login.com,phishing
Your PayPal account has been suspended. Login to continue at https://verify-account-login.com,phishing
Your appointment is confirmed for 05:02 AM.,safe
Security Alert: unusual activity detected. Act now: https://verify-account-login.com,phishing
Your order has been shipped. Track it here: https://tracking.soto-wright.com/track?id=HKleMl,safe
Your order has been shipped. Track it here: https://tracking.baird-smith.net/track?id=gbXEzr,safe
Your delivery has been shipped. Track it here: https://tracking.foster-odom.com/track?id=fpHjCX,safe
"Dear customer, flagged is required to prevent deactivation. Visit http://secure-update-info.com",phishing
Your account has been locked. Login to continue at http://bit.ly/vzPPCC,phishing
Reminder: Your order is scheduled at 05:38 PM.,safe
Your subscription is confirmed for 08:22 AM.,safe
Thank you for your payment to Spotify.,safe
Your subscription is confirmed for 09:43 PM.,safe
Reminder: Your order is scheduled at 08:43 PM.,safe
Thank you for your payment to Netflix.,safe
Thank you for your payment to Spotify.,safe
"Hi Hailey, your consultation is at 03:02 PM. See you soon!",safe
Your account has been temporarily disabled. Confirm your identity at https://verify-account-login.com,phishing
"Hi Kimberly, your doctor appointment is at 06:06 AM. See you soon!",safe
Reminder: Your delivery is scheduled at 08:26 PM.,safe
"Dear customer, suspended is required to prevent loss of access. Visit http://secure-update-info.com",phishing
Security Alert: unauthorized login attempt. Act now: http://bit.ly/pUeYYw,phishing
"Dear customer, suspended is required to prevent deactivation. Visit http://secure-update-info.com",phishing
"Hi Guy, your gym session is at 08:01 PM. See you soon!",safe
Your invoice for subscription is ready. Total: $70.81.,safe
You have been nominated to receive a prize. Claim here: http://secure-update-info.com,phishing
Your appointment is confirmed for 09:59 PM.,safe
"Dear customer, locked is required to prevent termination. Visit http://bit.ly/djYBcV",phishing
Your order has been shipped. Track it here: https://tracking.sanchez.net/track?id=gxTaYg,safe
Your account has been flagged. Login to continue at http://secure-update-info.com,phishing
Your account has been locked. Confirm your identity at https://verify-account-login.com,phishing
Your delivery has been shipped. Track it here: https://tracking.hoffman-williamson.biz/track?id=LIsFZQ,safe
"Hi Matthew, your consultation is at 07:36 AM. See you soon!",safe
You have been chosen to receive a free iPhone. Claim here: http://bit.ly/ZyZuXF,phishing
Your invoice for subscription is ready. Total: $51.04.,safe
"Hi Christina, your consultation is at 04:09 PM. See you soon!",safe
Your order has been shipped. Track it here: https://tracking.gutierrez-duncan.com/track?id=kItiRI,safe
Thank you for your payment to Netflix.,safe
Your account has been suspended. Confirm your identity at https://verify-account-login.com,phishing
Your account has been flagged. Login to continue at http://secure-update-info.com,phishing
You have been nominated to receive a $1000 gift card. Claim here: https://verify-account-login.com,phishing
Your package has been shipped. Track it here: https://tracking.wall-miller.com/track?id=MqKqTT,safe
"Hi Mitchell, your doctor appointment is at 07:38 AM. See you soon!",safe
Security Alert: multiple failed logins. Act now: https://verify-account-login.com,phishing
You have been chosen to receive a reward. Claim here: http://secure-update-info.com,phishing
Your delivery is confirmed for 02:03 AM.,safe
Reminder: Your delivery is scheduled at 07:42 AM.,safe
You have been chosen to receive a reward. Claim here: http://secure-update-info.com,phishing
Your account has been flagged. Confirm your identity at https://verify-account-login.com,phishing
Your order is confirmed for 01:12 AM.,safe
Security Alert: multiple failed logins. Act now: http://bit.ly/wLvpYF,phishing
Thank you for your payment to Uber.,safe
Thank you for your payment to Spotify.,safe
Reminder: Your order is scheduled at 05:59 PM.,safe
Your invoice for delivery is ready. Total: $62.75.,safe
"Dear customer, locked is required to prevent termination. Visit http://secure-update-info.com",phishing
You have been nominated to receive a $1000 gift card. Claim here: http://secure-update-info.com,phishing
Your account has been suspended. Confirm your identity at http://secure-update-info.com,phishing
"Hi Meghan, your doctor appointment is at 08:31 AM. See you soon!",safe
You have been selected to receive a reward. Claim here: https://verify-account-login.com,phishing
Security Alert: multiple failed logins. Act now: http://bit.ly/jdkgNW,phishing
"Hi Howard, your gym session is at 09:45 AM. See you soon!",safe
Your invoice for appointment is ready. Total: $15.99.,safe
Thank you for your payment to Netflix.,safe
Your delivery has been shipped. Track it here: https://tracking.tyler.info/track?id=lWIeIY,safe
Security Alert: unusual activity detected. Act now: http://secure-update-info.com,phishing
Your delivery has been shipped. Track it here: https://tracking.harrison.com/track?id=GmINPo,safe
"Hi Jonathan, your consultation is at 03:00 PM. See you soon!",safe
You have been selected to receive a free iPhone. Claim here: https://verify-account-login.com,phishing
Your account has been temporarily disabled. Please verify at https://verify-account-login.com,phishing
Your subscription is confirmed for 10:35 AM.,safe
Thank you for your payment to Spotify.,safe
Your account has been suspended. Please verify at http://bit.ly/EYttTf,phishing
"Dear customer, suspended is required to prevent loss of access. Visit http://secure-update-info.com",phishing
Thank you for your payment to Netflix.,safe
You have been selected to receive a free iPhone. Claim here: http://bit.ly/GGEiPS,phishing
Security Alert: multiple failed logins. Act now: http://secure-update-info.com,phishing
Thank you for your payment to Spotify.,safe
Security Alert: multiple failed logins. Act now: http://bit.ly/fuKuTK,phishing
You have been selected to receive a free iPhone. Claim here: http://bit.ly/vwAkAA,phishing
"Dear customer, locked is required to prevent deactivation. Visit http://secure-update-info.com",phishing
Your appointment is confirmed for 05:20 PM.,safe
Your appointment is confirmed for 11:00 AM.,safe
You have been chosen to receive a $1000 gift card. Claim here: http://secure-update-info.com,phishing
You have been chosen to receive a reward. Claim here: http://bit.ly/tvVLgj,phishing
Your invoice for delivery is ready. Total: $33.19.,safe
"Hi Mark, your consultation is at 08:24 AM. See you soon!",safe
"Hi Eric, your consultation is at 07:12 PM. See you soon!",safe
Reminder: Your order is scheduled at 06:30 AM.,safe
You have been nominated to receive a free iPhone. Claim here: https://verify-account-login.com,phishing
Reminder: Your subscription is scheduled at 08:42 AM.,safe
Your Apple ID has been temporarily disabled. Confirm your identity at https://verify-account-login.com,phishing
Security Alert: unauthorized login attempt. Act now: http://bit.ly/tYJLcy,phishing
"Dear customer, temporarily disabled is required to prevent termination. Visit https://verify-account-login.com",phishing
Your order is confirmed for 01:11 AM.,safe
"Hi Michelle, your doctor appointment is at 06:04 PM. See you soon!",safe
Security Alert: multiple failed logins. Act now: http://bit.ly/laUxGD,phishing
"Hi Cindy, your gym session is at 04:58 PM. See you soon!",safe
Reminder: Your appointment is scheduled at 09:09 PM.,safe
You have been nominated to receive a free iPhone. Claim here: http://bit.ly/IIUtKr,phishing
"Dear customer, locked is required to prevent loss of access. Visit https://verify-account-login.com",phishing
Your invoice for delivery is ready. Total: $71.57.,safe
You have been selected to receive a reward. Claim here: http://secure-update-info.com,phishing
"Dear customer, flagged is required to prevent termination. Visit http://secure-update-info.com",phishing
Your appointment is confirmed for 02:59 AM.,safe
You have been nominated to receive a prize. Claim here: http://bit.ly/cmReeh,phishing
Your delivery has been shipped. Track it here: https://tracking.young-cochran.com/track?id=qdQrvA,safe
Security Alert: multiple failed logins. Act now: http://bit.ly/xfWIpS,phishing
You have been nominated to receive a reward. Claim here: http://bit.ly/QafxZH,phishing
Your invoice for subscription is ready. Total: $93.76.,safe
Your package has been shipped. Track it here: https://tracking.webster.com/track?id=BUeplt,safe
"Dear customer, locked is required to prevent deactivation. Visit https://verify-account-login.com",phishing
Your package has been shipped. Track it here: https://tracking.kelly-lee.com/track?id=pqkNPC,safe
Thank you for your payment to Netflix.,safe
Security Alert: unusual activity detected. Act now: http://bit.ly/butgJl,phishing
You have been nominated to receive a prize. Claim here: http://bit.ly/beVAHL,phishing
Security Alert: multiple failed logins. Act now: https://verify-account-login.com,phishing
Reminder: Your subscription is scheduled at 04:58 PM.,safe
Your invoice for appointment is ready. Total: $23.46.,safe
Your invoice for delivery is ready. Total: $12.32.,safe
Security Alert: multiple failed logins. Act now: https://verify-account-login.com,phishing
Your order is confirmed for 07:10 AM.,safe
Your delivery has been shipped. Track it here: https://tracking.carter.info/track?id=puEQDl,safe
Security Alert: unusual activity detected. Act now: http://secure-update-info.com,phishing
You have been nominated to receive a $1000 gift card. Claim here: http://bit.ly/YClzYb,phishing
"Dear customer, flagged is required to prevent loss of access. Visit https://verify-account-login.com",phishing
Your invoice for order is ready. Total: $29.74.,safe
Your appointment is confirmed for 04:09 AM.,safe
